pername,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,Name,Code
كل كشور,"17,502","18,239","18,975","19,712","20,449","21,186","22,023","22,898","23,812","24,766","25,764",Total,
آذربايجان شرق?,912,947,982,"1016","1051","1086","1125","1165","1206","1249","1294",,IR.EA
آذربايجان غرب?,656,689,723,756,789,823,861,901,943,986,"1,032",,IR.WA
اردبيل,282,293,304,316,327,338,351,364,379,393,409,,IR.AR
اصفهان,"1225","1271","1317","1363","1409","1455","1506","1560","1615","1672","1732",,IR.ES
البرز,561,593,625,656,688,719,756,795,835,878,923,,IR.AL
ايلام,112,116,121,126,131,136,141,147,153,159,165,,IR.IL
بوشهر,190,202,213,224,236,247,260,274,289,305,321,,IR.BS
تهران,"3169","3282","3394","3507","3620","3732","3857","3986","4120","4258","4401",,IR.TH
چهارمحال و بختيار?,195,203,211,219,227,235,244,254,264,275,287,,IR.CM
خراسان جنوب?,160,165,169,174,179,184,189,194,200,206,212,,IR.KJ
خراسان رضو?,"1428","1485","1543","1601","1659","1717","1783","1852","1923","1998","2076",,IR.KV
خراسان شمال?,200,208,216,225,233,241,251,260,270,281,292,,IR.KS
خوزستان,867,916,965,"1015","1064","1113","1171","1232","1296","1363","1435",,IR.KZ
زنجان,236,246,257,267,277,287,299,311,323,336,350,,IR.ZA
سمنان,160,165,171,176,181,186,192,198,204,211,217,,IR.SM
سيستان و بلوچستان,470,494,517,541,565,588,616,644,674,705,737,,IR.SB
فارس,"1023","1068","1114","1160","1205","1251","1305","1361","1421","1485","1551",,IR.FA
قزوين,295,306,318,329,341,353,366,380,394,409,425,,IR.QZ
قم,262,274,286,298,309,321,334,348,363,378,394,,IR.QM
كردستان,338,351,364,376,389,402,417,433,450,467,485,,IR.KD
كرمان,616,650,684,718,752,786,826,868,911,958,"1006",,IR.KE
كرمانشاه,446,463,480,497,514,531,551,571,591,613,635,,IR.BK
كهگيلويه و بويراحمد,127,132,138,144,150,156,163,171,178,186,195,,IR.KB
گلستان,380,401,421,442,463,483,507,532,558,586,614,,IR.GO
گيلان,670,691,713,734,756,778,803,829,856,884,914,,IR.GI
لرستان,384,400,415,431,447,463,480,498,517,537,557,,IR.LO
مازندران,784,813,843,872,902,931,964,998,"1033","1070","1107",,IR.MN
مركزي,365,377,390,402,414,427,441,456,471,488,505,,IR.MK
هرمزگان,305,323,342,360,379,397,419,442,467,492,520,,IR.HG
همدان,428,444,460,475,491,507,524,542,560,579,599,,IR.HD
يزد,259,269,279,290,300,310,322,334,346,359,373,,IR.YA
